date,actual_max_temp,average_max_temp,record_max_temp,actual_min_temp,average_min_temp,record_min_temp
2015-01-01,42,46,58,26,36,10
2015-01-02,42,46,56,32,36,6
2015-01-03,41,46,58,35,36,6
2015-01-04,51,46,61,38,36,14
2015-01-05,54,46,55,49,36,15
2015-01-06,54,46,57,43,37,14
2015-01-07,46,46,59,42,37,19
2015-01-08,46,46,54,35,37,18
2015-01-09,50,46,56,38,37,13
2015-01-10,46,47,59,43,37,12
2015-01-11,49,47,59,45,37,12
2015-01-12,52,47,59,40,37,13
2015-01-13,49,47,56,37,37,11
2015-01-14,43,47,59,33,37,8
2015-01-15,46,47,58,34,37,15
2015-01-16,53,47,55,42,37,13
2015-01-17,56,47,56,38,37,15
2015-01-18,57,48,60,45,37,9
2015-01-19,50,48,62,43,37,18
2015-01-20,50,48,64,38,37,16
2015-01-21,45,48,62,31,37,13
2015-01-22,49,48,60,43,37,19
2015-01-23,54,48,56,47,37,16
2015-01-24,58,48,58,52,37,10
2015-01-25,63,48,63,45,37,7
2015-01-26,61,48,61,43,37,9
2015-01-27,52,48,58,47,37,11
2015-01-28,54,48,57,41,37,7
2015-01-29,54,49,60,38,37,6
2015-01-30,47,49,59,34,37,7
2015-01-31,45,49,61,38,37,0
2015-02-01,49,49,63,40,37,1
2015-02-02,52,49,64,41,37,8
2015-02-03,50,49,63,42,37,8
2015-02-04,51,49,63,40,37,7
2015-02-05,56,49,62,47,37,14
2015-02-06,58,49,64,50,37,18
2015-02-07,54,49,66,49,37,20
2015-02-08,59,49,68,47,37,22
2015-02-09,56,49,62,47,37,26
2015-02-10,55,49,65,47,37,24
2015-02-11,55,50,62,42,37,23
2015-02-12,62,50,66,49,37,21
2015-02-13,60,50,60,44,37,18
2015-02-14,58,50,63,44,37,22
2015-02-15,54,50,65,39,37,13
2015-02-16,59,50,59,42,37,13
2015-02-17,61,50,58,40,37,23
2015-02-18,54,50,62,40,37,20
2015-02-19,51,50,67,47,37,22
2015-02-20,52,50,62,45,37,25
2015-02-21,54,51,67,42,37,25
2015-02-22,53,51,64,38,37,30
2015-02-23,55,51,61,33,37,27
2015-02-24,52,51,62,36,37,24
2015-02-25,50,51,64,44,37,20
2015-02-26,53,51,67,46,37,18
2015-02-27,50,51,70,44,37,20
2015-02-28,54,51,68,38,38,24
2015-03-01,52,52,62,34,38,23
2015-03-02,52,52,64,40,38,22
2015-03-03,51,52,69,32,38,20
2015-03-04,55,52,68,31,38,11
2015-03-05,56,52,66,37,38,13
2015-03-06,59,52,68,38,38,26
2015-03-07,62,52,66,39,38,26
2015-03-08,63,53,67,39,38,28
2015-03-09,58,53,67,40,39,28
2015-03-10,56,53,68,41,39,20
2015-03-11,58,53,65,48,39,23
2015-03-12,64,53,68,49,39,25
2015-03-13,63,53,70,46,39,28
2015-03-14,57,53,64,49,39,26
2015-03-15,51,54,65,43,39,30
2015-03-16,57,54,66,43,39,29
2015-03-17,56,54,65,40,40,27
2015-03-18,60,54,70,45,40,29
2015-03-19,60,54,63,47,40,27
2015-03-20,57,54,69,48,40,26
2015-03-21,56,55,69,47,40,29
2015-03-22,53,55,68,43,40,28
2015-03-23,52,55,68,42,40,28
2015-03-24,55,55,68,43,40,30
2015-03-25,58,55,64,45,40,31
2015-03-26,69,55,70,50,40,32
2015-03-27,65,55,71,48,41,26
2015-03-28,60,56,73,49,41,26
2015-03-29,60,56,78,48,41,24
2015-03-30,64,56,72,51,41,27
2015-03-31,55,56,75,43,41,30
2015-04-01,55,56,82,42,41,29
2015-04-02,56,56,76,42,41,30
2015-04-03,52,56,71,41,41,32
2015-04-04,55,57,75,39,41,31
2015-04-05,62,57,73,37,41,29
2015-04-06,57,57,78,44,41,31
2015-04-07,58,57,78,44,41,29
2015-04-08,63,57,70,43,41,29
2015-04-09,63,57,73,43,41,34
2015-04-10,57,57,74,46,42,30
2015-04-11,53,58,80,42,42,35
2015-04-12,56,58,79,42,42,33
2015-04-13,53,58,75,39,42,33
2015-04-14,53,58,83,37,42,33
2015-04-15,57,58,74,38,42,33
2015-04-16,64,59,81,39,42,34
2015-04-17,66,59,74,43,42,33
2015-04-18,66,59,77,47,42,34
2015-04-19,70,59,74,47,42,33
2015-04-20,73,59,74,46,43,30
2015-04-21,63,59,76,44,43,29
2015-04-22,60,60,78,41,43,35
2015-04-23,54,60,72,44,43,31
2015-04-24,54,60,76,43,43,30
2015-04-25,56,60,77,42,43,34
2015-04-26,60,61,78,40,44,32
2015-04-27,77,61,81,51,44,31
2015-04-28,60,61,76,48,44,31
